level,accuracy,precision,recall,f1,micro_accuracy,micro_precision,micro_recall,micro_f1,theilU,coverage,vocabulary_coverage,optimal_confidence_threshold,macro_optimal_confidence_threshold
0,0.6550393978445679,0.6562772501376838,0.4042536456840408,0.45839959677711284,0.7391551009924409,0.8183789317629875,0.4374829467939973,0.5454972828353389,0.8432900996997614,0.5726466575716235,1.0,0.5902923765089534,0.4758877221206902
1,0.7646212108010699,0.7371033734358946,0.5257647870646037,0.5709313988916065,0.7954278635995053,0.95008913605965,0.5628410641200545,0.6665399497377851,0.8168676180028996,0.6816507503410641,1.0,0.6821757007323763,0.6214945831630437
2,0.7469777919994849,0.6429103151698069,0.6481094189937608,0.587537061228862,0.8652928736932598,0.9216305416175905,0.7516030013642565,0.8210302071107298,0.6471216029953388,0.8652796725784447,1.0,0.9757674942285129,0.9578847369565221
