level,accuracy,precision,recall,f1,micro_accuracy,micro_precision,micro_recall,micro_f1,theilU,coverage,vocabulary_coverage,optimal_confidence_threshold
0,0.7581608995008081,0.432546369408928,0.4042536456840408,0.2712977205415566,0.7639666468135795,0.7639666468135795,0.4374829467939973,0.5563652136196053,0.95806928368113,0.5726466575716235,1.0,0.8400000000000001
1,0.826201442543438,0.414218649644604,0.5257647870646037,0.31212208903751687,0.8257029920944662,0.8257029920944662,0.5628410641200545,0.6693911491502048,0.9402848428125907,0.6816507503410641,1.0,0.968
2,0.7469777919994849,0.246448954148426,0.6481094189937608,0.22522254013773044,0.8686243594797004,0.8686243594797004,0.7516030013642565,0.8058877308465898,0.7463520916661065,0.8652796725784447,1.0,0.968
